reference	translation	ref_tox	trn_tox
if alkar floods her with her mental waste it would explain the high levels of neurotransmitter	if alkar is flooding her with psychic waste that explains the high level of neurotransmitters	0.9819834232330322	0.0141952484846115
i have orders to kill her	ive got orders to put her down	0.9993481040000916	0.0094018271192908
im not gonna have a child with the same genetic disorder as me whos gonna die l	im not going to breed kids with a genetic disorder that makes them die	0.9509556293487548	0.0358464829623699
theyre all laughing at us so well kick your ass	theyre laughing at us well show you	0.9994921684265136	0.0001314068067586
youd probably want me to buy you some chocolates and flowers and whispered some pretty rubbish	i suppose you want me to buy you flowers and chocolates and whisper sweet nothings	0.9803409576416016	7.753936370136216e-05
come on cal leave that shit alone	come on cal put it down	0.9996366500854492	0.0002793309977278
hes the tallest son of a bitch	so hes the top dog	0.9996393918991088	0.0009202667279168
when i was dating alex harris i swore id rather die than go out with a loser	i swore when i went out with xander harris id rather die than datea fixerupper again	0.996265947818756	0.0116133987903594
im famous and youre dead	im famous and youre done	0.9797378778457642	0.0009255202021449
the foolish xerxes calmly passed all control of the computer network and commanded her to handle any kind of trouble	fatuous xerxes blithely surrendered control to the computer grid ordering it to take care of whatever troubles might arise	0.9874431490898132	0.0062955790199339
